token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
Fartcoin,28,0.014487977156507991,0.017465127545575783,0.010425650195925083,0.030248679138047473,0.022901012759210203
Fartcoin,29,0.012439409986509754,0.018361961113191147,0.014395488677565857,0.02450721202980501,0.019742855441285997
Fartcoin,30,0.01945194064472879,0.029809057655864692,0.038049492353739396,0.021575097402516372,0.01994763596248866
Fartcoin,31,0.019477280715606556,0.0329779293112115,0.03597666212866166,0.01275415331577176,0.013739765786060947
Fartcoin,32,0.008831670148807189,0.017840616840732546,0.021890551881693737,0.022289081384324765,0.018754117762854353
Fartcoin,33,0.017033321211039783,0.035803826984343104,0.04638063000643939,0.03638141997846345,0.021392744913052476
Fartcoin,34,0.012300208704666133,0.02942642216154639,0.0371862896996859,0.028947462354810518,0.01761902827367873
GIGA,0,0.012942386373458445,0.028188967746468247,0.039599444281644504,0.03256833130972243,0.022222149903343074
GIGA,1,0.02527567892170716,0.04447700484054761,0.05198173028809067,0.04311581471268957,0.01047943123940849
GIGA,2,0.009373113897583413,0.021933666633952183,0.03328909643691929,0.03125025368591738,0.018876402963709404
GIGA,3,0.020904290016481034,0.033481607246910704,0.029885591837875206,0.013594516995463388,0.009195522650551187
GIGA,4,0.020151397274756455,0.033892045680982065,0.03466450833564129,0.014837177784779852,0.008449977625741213
GIGA,5,0.016296262979777012,0.02570906277515514,0.037628670316979106,0.02565515247649421,0.01367945772474049
GIGA,6,0.06488131025463686,0.10640851413682834,0.09741185514716427,0.06325090792060738,0.03258251927398718
GIGA,7,0.02857994597320675,0.05491545159727838,0.07967310194753907,0.07534748569338054,0.04330397037551321
GIGA,8,0.028428250845095884,0.041902872910448676,0.043913122775051106,0.032781890720026234,0.0072660374470218635
GIGA,9,0.012141743272362131,0.02453992397962256,0.03222912379934923,0.031093814557921578,0.018704666098364967
GIGA,10,0.016370562523636743,0.025034618649916605,0.024737973179897812,0.021389452622375363,0.010875288139990766
GIGA,11,0.034256000540048535,0.05942275169832543,0.0733237873341626,0.08333624153777643,0.06670289429718673
GIGA,12,0.027181648564375698,0.05229303115941356,0.07426482524431187,0.07999290787900987,0.0523163453883231
GIGA,13,0.00984120379736151,0.028660346479484417,0.038886496764638845,0.03728596869399035,0.02360814458710879
GIGA,14,0.018511832151331918,0.032419848564067176,0.036942448513800165,0.019216562254216186,0.012344974603390258
GIGA,15,0.017512259147064904,0.03217583029772747,0.0334213099074292,0.029500486404618484,0.014245005401994795
GIGA,16,0.018308561731439747,0.02523644018412188,0.03343280532217365,0.030262859174695133,0.02435041793076402
GIGA,17,0.027611306303150646,0.04556494747486262,0.04548295107430845,0.04187208336163393,0.010627093125014699
GIGA,18,0.017171556514453085,0.02246719786850601,0.03600094655891547,0.027820073685491623,0.02096630076315446
GIGA,19,0.015888403321874967,0.016177306480013396,0.024884431380159982,0.024923452373626257,0.021840120485286416
GIGA,20,0.02153387289272904,0.030896206376956527,0.019287460198520567,0.012490596131919912,0.013002188648470895
GIGA,21,0.03959295350584124,0.06767462800077138,0.07899151139926162,0.06438549912349262,0.020468605157020717
GIGA,22,0.018921851744087337,0.023660309566982434,0.03196880734420795,0.030631916358090688,0.02255806302433645
GIGA,23,0.011490036256185972,0.010979695561405663,0.016851460982220148,0.030102111445290434,0.021702109504297486
GIGA,24,0.015787321611424546,0.020841890921634517,0.022366883681361152,0.013196976199585223,0.010058419158359836
GOAT,0,0.018100569542839885,0.027584463875630915,0.014332891814894028,0.011900885244599672,0.012053081711535145
GOAT,1,0.0210511041759805,0.030918707924450492,0.01707381778905726,0.019115737555635476,0.019683197724355794
GOAT,2,0.010650521604707858,0.018247389596549403,0.03283574302269277,0.03148035255061485,0.0206944265252224
GOAT,3,0.020362063648131683,0.030126846791517402,0.03500202141653077,0.026827361254451083,0.011724472216523363
GOAT,4,0.013781018887743302,0.01683986793657198,0.009190539653490407,0.01929022097406188,0.015470482439436604
GOAT,5,0.012988884718930121,0.0360636620936528,0.03465434638283182,0.026245466880611776,0.014923993769549079
GOAT,6,0.011167869385050683,0.008560586333607758,0.017933295891699983,0.021552261777614722,0.013329743759406211
GOAT,7,0.009715327169197223,0.013192136676294833,0.01627431152029205,0.010682459241702772,0.010466239870148912
GOAT,8,0.012813513639410074,0.0218362517040242,0.010888569515765082,0.016901760874178235,0.015024726764597936
GOAT,9,0.008581088893519112,0.010078571400979857,0.009030809967930792,0.023720896042104294,0.013465658379492429
GOAT,10,0.012563420863751321,0.016887127768790828,0.02510113533801416,0.023100393925798945,0.010594873673272229
GOAT,11,0.02277551313307238,0.03805089948227885,0.031235478069742594,0.02281486099202371,0.009268861570828802
GOAT,12,0.010658114025645904,0.017983757697638283,0.015804649889515274,0.019096781078883854,0.012950518658745608
GOAT,13,0.008852477592336252,0.01399147614964189,0.021880011131412972,0.014969842395393387,0.011695631089379703
GOAT,14,0.010945902569399183,0.014438450863948094,0.009243675725880059,0.009441598910010377,0.00961888758125566
GOAT,15,0.05699734131259479,0.12627175891047795,0.22635877313451344,0.31149914600347306,0.35335316995682425
GOAT,16,0.059357432105125944,0.1242417795342557,0.2117027709974415,0.2953899324103453,0.323426491584699
GOAT,17,0.11921238130973315,0.2623214581364238,0.48183357778433944,0.7022272476221327,0.7998843265658112
GOAT,18,0.028743289429303334,0.05682975664026787,0.10449107737703744,0.12187178142618506,0.10886458190818567
GOAT,19,0.061958393747322114,0.08136356865670179,0.07529929422987287,0.053149998873304606,0.027095231280450157
GOAT,20,0.01849600718338827,0.03045785604664906,0.04863012813751605,0.047578499199754654,0.023281994984272466
GOAT,21,0.01707859805568928,0.025286059417420223,0.015884852397018714,0.0287230767444121,0.03390312668111898
GOAT,22,0.007087657411088885,0.02590856647032104,0.030464268820181845,0.037515671492811827,0.0689722186753161
GOAT,23,0.015319021495702178,0.02417371645982547,0.023432371234785535,0.017842183516132436,0.01903700848658264
GOAT,24,0.009343621423555321,0.020618504674308737,0.03223268710506527,0.029189739994346348,0.018519016625470695
LAUNCHCOIN,0,0.10224131243546368,0.2036839646681702,0.30078126556059975,0.2880885601683593,0.10352197495920556
LAUNCHCOIN,1,0.17326464822397222,0.3497216294367886,0.5778908620239666,0.6470159791554697,0.1729327034899801
LAUNCHCOIN,2,0.08550201982464356,0.15820766849289117,0.2055454382790675,0.17380239766225655,0.11897326088572953
LAUNCHCOIN,3,0.030572342957736285,0.10082180869893086,0.11971897658154951,0.09069869039018508,0.0833963070395185
LAUNCHCOIN,4,0.12427169381087884,0.27750996282908486,0.43055414315597407,0.40272649534593236,0.05049018350577037
LAUNCHCOIN,5,0.11309993981586862,0.23500371810689158,0.2917231996075484,0.1957966473014167,0.1160263746050061
LAUNCHCOIN,6,0.14846328845894083,0.38643915492579173,0.6160944013609623,0.5268631295487859,0.47480007649363404
LAUNCHCOIN,7,0.5239618589950743,1.2421531116478959,2.31938690829268,2.8984119509143125,3.081803285293931
LAUNCHCOIN,8,0.04027998708133086,0.15215562626354037,0.16299140462503728,0.15425426556148422,0.1539847552111483
LAUNCHCOIN,9,0.016883749540316063,0.04749185620024743,0.09454403488490588,0.11123650665526275,0.15328573576236723
