token,tau,pinball
$michi,0.05,0.017018109521225063
$michi,0.1,0.012506963584980832
$michi,0.25,0.01596346786360885
$michi,0.5,0.023094349115876794
$michi,0.75,0.024163776155916732
$michi,0.9,0.012612804456029136
$michi,0.95,0.026712282550506436
$michi,0.05,0.012660271869509429
$michi,0.1,0.017156010480900402
$michi,0.25,0.03253562563937195
$michi,0.5,0.02990937646396344
$michi,0.75,0.025218415401305105
$michi,0.9,0.015674152054227303
$michi,0.95,0.02350388733292126
$michi,0.05,0.01199984859060691
$michi,0.1,0.020842027047373184
$michi,0.25,0.025149628975517358
$michi,0.5,0.02640022529026648
$michi,0.75,0.02364795056407661
$michi,0.9,0.012130699548845124
$michi,0.95,0.012650319337663427
$michi,0.05,0.022691559782103035
$michi,0.1,0.03221343282705353
$michi,0.25,0.0761683831674779
$michi,0.5,0.10687399208251025
$michi,0.75,0.09373642023048963
$michi,0.9,0.048439889473077695
$michi,0.95,0.01867224204054087
$michi,0.05,0.028103202299897986
$michi,0.1,0.029424739600840594
$michi,0.25,0.05033895869605449
$michi,0.5,0.058025664973261996
$michi,0.75,0.03860214950518963
$michi,0.9,0.012033975193131185
$michi,0.95,0.02237253273259368
$michi,0.05,0.024981783480389663
$michi,0.1,0.008596004545837577
$michi,0.25,0.015227740190483929
$michi,0.5,0.02398119942457959
$michi,0.75,0.02664802202503058
$michi,0.9,0.010632953780592334
$michi,0.95,0.026310178065413952
$michi,0.05,0.02771383077152445
$michi,0.1,0.006645661858818835
$michi,0.25,0.007919103497850358
$michi,0.5,0.013106451351747853
$michi,0.75,0.014606358004263376
$michi,0.9,0.006217570173429765
$michi,0.95,0.019453645666562422
$michi,0.05,0.030451171995350634
$michi,0.1,0.022187181884126033
$michi,0.25,0.04798531208856721
$michi,0.5,0.06580918771436113
$michi,0.75,0.053025857872939904
$michi,0.9,0.012017314167016105
$michi,0.95,0.034946583036224645
$michi,0.05,0.031172642142345025
$michi,0.1,0.03270017603274642
$michi,0.25,0.06662831238784167
$michi,0.5,0.07160551346571821
$michi,0.75,0.04512055691857606
$michi,0.9,0.02333096554335237
$michi,0.95,0.031037659393473412
$michi,0.05,0.023490599833542906
$michi,0.1,0.017504828314804738
$michi,0.25,0.02801163575539409
$michi,0.5,0.027340001727423638
$michi,0.75,0.0267534014789971
$michi,0.9,0.01813826085580743
$michi,0.95,0.02711141481492289
$michi,0.05,0.023090371379327932
$michi,0.1,0.012149467197597422
$michi,0.25,0.01507776359713107
$michi,0.5,0.014349932396180749
$michi,0.75,0.021300787099861287
$michi,0.9,0.014034503338446492
$michi,0.95,0.023648112296763567
$michi,0.05,0.02163675140473889
$michi,0.1,0.00772981842077537
$michi,0.25,0.01949378893088888
$michi,0.5,0.022600616129879056
$michi,0.75,0.015951545081957785
$michi,0.9,0.013756490108639503
$michi,0.95,0.025768904983382707
