token,tau,pinball
$michi,0.05,0.022049046077328525
$michi,0.25,0.06615438780278472
$michi,0.5,0.023214851514398744
$michi,0.75,0.04076846799827139
$michi,0.95,0.014877855780478686
$michi,0.05,0.018159216825022563
$michi,0.25,0.04126901089508335
$michi,0.5,0.017284045474970696
$michi,0.75,0.021605521403934073
$michi,0.95,0.01920518091898597
$michi,0.05,0.014344468431562117
$michi,0.25,0.031777993712015395
$michi,0.5,0.024606092538850547
$michi,0.75,0.026985036182725724
$michi,0.95,0.010629619225320526
$michi,0.05,0.010602439662927789
$michi,0.25,0.01502217825431832
$michi,0.5,0.0362817282996073
$michi,0.75,0.04679645949741767
$michi,0.95,0.023097844423780465
$michi,0.05,0.013934560876099516
$michi,0.25,0.028830758743658463
$michi,0.5,0.019216964314085688
$michi,0.75,0.032343742226680766
$michi,0.95,0.01322997340379214
ALCH,0.05,0.01615671056200252
ALCH,0.25,0.0477698442667382
ALCH,0.5,0.02453875741162534
ALCH,0.75,0.042376617554690764
ALCH,0.95,0.016797253959773297
ALCH,0.05,0.012038331761928306
ALCH,0.25,0.03701150307400422
ALCH,0.5,0.02821310512103926
ALCH,0.75,0.06877983765171879
ALCH,0.95,0.018029724140053688
ALCH,0.05,0.03630348486574824
ALCH,0.25,0.14672233505522211
ALCH,0.5,0.22248895508410724
ALCH,0.75,0.17536479528072912
ALCH,0.95,0.03869919001198587
ALCH,0.05,0.04728939490047946
ALCH,0.25,0.22559406708506113
ALCH,0.5,0.2783643633323398
ALCH,0.75,0.2587796797629012
ALCH,0.95,0.10303009055059247
ALCH,0.05,0.04095012264275885
ALCH,0.25,0.1486166492170238
ALCH,0.5,0.1066553467005914
ALCH,0.75,0.18650401461315105
ALCH,0.95,0.10261159426043431
ALCH,0.05,0.038856953456201916
ALCH,0.25,0.13366254685800275
ALCH,0.5,0.08327347209802001
ALCH,0.75,0.2370415308309393
ALCH,0.95,0.08514262547741126
ALCH,0.05,0.044957461116075265
ALCH,0.25,0.13902614562800983
ALCH,0.5,0.07276657683305437
ALCH,0.75,0.12946023270745335
ALCH,0.95,0.0956181108712885
ALCH,0.05,0.04604062824972849
ALCH,0.25,0.13080815397312745
ALCH,0.5,0.08407827268269419
ALCH,0.75,0.09854159240735881
ALCH,0.95,0.12453141904960892
ALCH,0.05,0.036660539226764474
ALCH,0.25,0.12521004184248655
ALCH,0.5,0.09249197938748406
