model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,BOME,0.05,0.006490931379410084,0.0006699895834560787,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.1,0.010293408349483078,0.0008795911660845925,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.25,0.01717572628256543,0.0012697525966074519,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.5,0.025495332266633555,0.0021500727010836263,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.75,0.024350219936592962,0.0027014455957927166,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.9,0.015850712338860255,0.0023784103276958198,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,BOME,0.95,0.011253039186673582,0.0021731268490716264,0.719047619047619,0.7761904761904762,0.12678479924720354,0.1579142665635797,210
QRF_v3,FWOG,0.05,0.015968119104963343,0.001861873865020252,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.1,0.023843841603418094,0.0021360378161753733,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.25,0.03780066387684422,0.0034188503221586944,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.5,0.055856207163887284,0.005599198483740881,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.75,0.0487735850696797,0.0070026379792746864,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.9,0.03762501374688678,0.007442322559943419,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,FWOG,0.95,0.030028881967858644,0.007002184703254767,0.6533333333333333,0.7333333333333333,0.3159609784840542,0.4878632243229431,150
QRF_v3,Fartcoin,0.05,0.010769973094079767,0.00143324358578808,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.1,0.01713979652652596,0.0016968447310314555,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.25,0.030818485908980644,0.0023473169261016566,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.5,0.04193404721885586,0.0028625820855119073,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.75,0.03484359040338991,0.002521706424839291,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.9,0.0227279717743417,0.0021446894413062914,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,Fartcoin,0.95,0.0147121522279063,0.0014597488000586173,0.7428571428571429,0.8476190476190476,0.2524036899770026,0.3284449343965063,210
QRF_v3,GIGA,0.05,0.011535566554426824,0.0016239276655342077,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GIGA,0.1,0.015351352429935445,0.0015795650379168808,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GIGA,0.25,0.0265400776012382,0.0018221610362889485,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
QRF_v3,GIGA,0.5,0.035737757288230726,0.002606697376610397,0.6933333333333334,0.76,0.18761143305832928,0.23209778607814988,150
