token,tau,dm_qrf_vs_lqr,p_qrf_vs_lqr,dm_qrf_vs_lgbm,p_qrf_vs_lgbm,n
ALCH,0.9,-1.7413861269865216,0.08161591830905923,-2.0942750917635404,0.03623548186127623,126
AVA,0.9,-2.650576371075825,0.00803545582243137,-3.985726086930904,6.727408476159269e-05,126
FWOG,0.9,-1.0132534606653303,0.3109391108415551,-0.8279831263937686,0.40768005594298184,126
Fartcoin,0.9,-2.031522662620892,0.04220200299427557,-0.9062278843826499,0.36481524682847755,186
GIGA,0.9,-1.5457697692058654,0.12216018048106347,-1.5181960153859095,0.12896499171881537,126
GOAT,0.9,0.043389110807323016,0.9653913578448732,-1.2066326291056424,0.22757365502010396,126
MEW,0.9,-2.563178564837257,0.010371869006828849,-1.5320546993116988,0.12550893723666556,126
MLG,0.9,0.728512305156869,0.466300038879196,-1.8797157601848415,0.060146826503277406,126
MOODENG,0.9,-2.621764917869326,0.008747574684633275,-0.3206731529040702,0.748458094549743,126
PONKE,0.9,0.16711027353620986,0.8672832825716685,-0.44010809018175273,0.6598588227324313,126
POPCAT,0.9,0.14027816125461684,0.8884402184945526,-0.00995520803984133,0.9920570244052913,126
Pnut,0.9,-1.0568664889611794,0.29057252433073355,-0.6871012373755073,0.49201893453733936,126
RETARDIO,0.9,-0.5948360415849036,0.5519530732178304,-3.330903006005248,0.0008656475915722606,186
Ray,0.9,-3.6598016282513406,0.0002524105742365279,-1.8203865380984803,0.0687001610415241,126
SIGMA,0.9,-1.8712991529147571,0.06130362789831034,-2.0696658437102964,0.038483647435552104,126
UFD,0.9,-1.216530934266035,0.22378273439990926,-1.3315980733654371,0.1829922983811305,96
ZEREBRO,0.9,1.301318085296212,0.19314959928320086,-3.462943340096244,0.0005343008943725636,126
$WIF,0.95,-0.23054382120432404,0.8176692159972783,-0.34543095807598756,0.729770406669263,126
$michi,0.95,-0.9953245090998286,0.31957846121691835,-6.638582687709985,3.167133222348184e-11,126
ALCH,0.95,-1.1493366694566107,0.2504171831203297,-5.074305603902411,3.889135888890394e-07,126
AVA,0.95,-2.585490701823875,0.009724049555508207,-13.952258138626267,0.0,126
FWOG,0.95,-0.5490270501569384,0.5829868863958387,-6.859805240085582,6.895373161341922e-12,126
Fartcoin,0.95,-2.250751140150711,0.024401303730875235,-8.411752811889421,0.0,186
GIGA,0.95,-1.3206512445165073,0.18661767776709492,-4.153194318077061,3.2786609413193446e-05,126
GOAT,0.95,0.29822254863237785,0.7655333130399116,-1.7616836046272455,0.0781227694729314,126
MEW,0.95,-2.667620297360842,0.007639053627305881,-2.9671603303035496,0.003005641808047743,126
MLG,0.95,-0.019789922225120892,0.9842109572099547,-2.7564846392794244,0.0058426356879741626,126
MOODENG,0.95,-1.5199795745151243,0.12851610923983814,-2.200320425286761,0.027784169125305347,126
PONKE,0.95,-1.6709423293423755,0.09473306950893567,-2.271895529858681,0.02309282096774168,126
POPCAT,0.95,0.33017206535960075,0.7412699529919011,-0.02939310224813431,0.9765510740380814,126
Pnut,0.95,-1.1108077505724538,0.26665110961130467,-3.135650515785651,0.0017147341130479,126
RETARDIO,0.95,-0.4784194371381167,0.6323517020218299,-4.135446954236927,3.542644441578702e-05,186
Ray,0.95,-3.307946767339422,0.0009398267216653711,-6.01341984760417,1.8164976189893878e-09,126
SIGMA,0.95,-1.8049633548833268,0.07108041658374398,-12.008547263738706,0.0,126
UFD,0.95,-0.7702873597502782,0.4411294527552494,-4.014080235462865,5.967804516826547e-05,96
ZEREBRO,0.95,1.3902931627666255,0.16443987321724318,-2.220651650150236,0.026374564591943317,126
