token,pinball,tau,model
FWOG,0.03712302729787132,0.95,LQR
Fartcoin,0.0401878007709895,0.95,LQR
GIGA,0.017234460657625527,0.95,LQR
GOAT,0.044458179920657544,0.95,LQR
MEW,0.01751270316841111,0.95,LQR
MLG,0.024248667167049143,0.95,LQR
MOODENG,0.013666164999255655,0.95,LQR
PONKE,0.014973479708733672,0.95,LQR
POPCAT,0.01883125080618089,0.95,LQR
Pnut,0.023566356591726328,0.95,LQR
RETARDIO,0.01538620477314451,0.95,LQR
Ray,0.012486705631177968,0.95,LQR
SIGMA,0.023366511490920127,0.95,LQR
UFD,0.025757344971867935,0.95,LQR
ZEREBRO,0.03350361601790171,0.95,LQR
$WIF,0.01804479291100585,0.05,LightGBM
$michi,0.02302237232333006,0.05,LightGBM
ALCH,0.03431043941256721,0.05,LightGBM
AVA,0.022098547163924096,0.05,LightGBM
FWOG,0.03180564059770045,0.05,LightGBM
Fartcoin,0.025297449328249136,0.05,LightGBM
GIGA,0.01819434075016597,0.05,LightGBM
GOAT,0.02614305173256127,0.05,LightGBM
MEW,0.015168029489780419,0.05,LightGBM
MLG,0.03278406799309334,0.05,LightGBM
MOODENG,0.014668860354280834,0.05,LightGBM
PONKE,0.01600380008680381,0.05,LightGBM
POPCAT,0.021104847266302188,0.05,LightGBM
Pnut,0.019720025378519513,0.05,LightGBM
RETARDIO,0.0207574938130904,0.05,LightGBM
Ray,0.012897796752978192,0.05,LightGBM
SIGMA,0.023822314368383567,0.05,LightGBM
UFD,0.03726336061639509,0.05,LightGBM
ZEREBRO,0.04771459060910558,0.05,LightGBM
$WIF,0.02207369024896434,0.1,LightGBM
$michi,0.017521931071152894,0.1,LightGBM
ALCH,0.025493975459075092,0.1,LightGBM
AVA,0.015092502528883518,0.1,LightGBM
FWOG,0.029494594616485407,0.1,LightGBM
Fartcoin,0.01982829139406298,0.1,LightGBM
GIGA,0.018609536889524107,0.1,LightGBM
GOAT,0.032438228763062536,0.1,LightGBM
MEW,0.012292079283670147,0.1,LightGBM
MLG,0.027959811663822914,0.1,LightGBM
MOODENG,0.013885334485164196,0.1,LightGBM
PONKE,0.011835867147704543,0.1,LightGBM
POPCAT,0.017343146835775407,0.1,LightGBM
Pnut,0.016994943600476636,0.1,LightGBM
RETARDIO,0.020146792394417364,0.1,LightGBM
Ray,0.009592111322413603,0.1,LightGBM
SIGMA,0.016307278706510296,0.1,LightGBM
UFD,0.04302095137897588,0.1,LightGBM
ZEREBRO,0.05247573206827856,0.1,LightGBM
$WIF,0.03401702313720835,0.25,LightGBM
$michi,0.03174948095082248,0.25,LightGBM
ALCH,0.05016229124359361,0.25,LightGBM
AVA,0.031030410819139938,0.25,LightGBM
FWOG,0.04803888237361668,0.25,LightGBM
Fartcoin,0.037128998371296365,0.25,LightGBM
GIGA,0.029516083758548743,0.25,LightGBM
GOAT,0.04129136878379825,0.25,LightGBM
MEW,0.024281117276828183,0.25,LightGBM
MLG,0.05050263970090715,0.25,LightGBM
MOODENG,0.02224736481061046,0.25,LightGBM
PONKE,0.023330868994754037,0.25,LightGBM
POPCAT,0.025886135514655947,0.25,LightGBM
Pnut,0.027530911606956223,0.25,LightGBM
RETARDIO,0.03436287372396678,0.25,LightGBM
Ray,0.017701392689553744,0.25,LightGBM
SIGMA,0.032732391888476424,0.25,LightGBM
UFD,0.052609615057475655,0.25,LightGBM
ZEREBRO,0.061927042229677515,0.25,LightGBM
$WIF,0.04013618463325991,0.5,LightGBM
$michi,0.039471738207939276,0.5,LightGBM
ALCH,0.07112074346385318,0.5,LightGBM
AVA,0.04058801537377307,0.5,LightGBM
FWOG,0.06744306497461727,0.5,LightGBM
Fartcoin,0.04510775873752004,0.5,LightGBM
GIGA,0.03795824456017316,0.5,LightGBM
GOAT,0.0652432360947754,0.5,LightGBM
MEW,0.0290226696964807,0.5,LightGBM
MLG,0.06825905186402256,0.5,LightGBM
MOODENG,0.02570001220615176,0.5,LightGBM
PONKE,0.03053186297522623,0.5,LightGBM
POPCAT,0.03693344432091007,0.5,LightGBM
Pnut,0.03486742726358785,0.5,LightGBM
RETARDIO,0.04374588911083026,0.5,LightGBM
Ray,0.021739280199078583,0.5,LightGBM
SIGMA,0.042391586467559826,0.5,LightGBM
UFD,0.06412300835181751,0.5,LightGBM
ZEREBRO,0.0907897276948402,0.5,LightGBM
$WIF,0.034576237728032304,0.75,LightGBM
$michi,0.03477436275065536,0.75,LightGBM
ALCH,0.062447760265772194,0.75,LightGBM
AVA,0.03601534292521513,0.75,LightGBM
FWOG,0.06561016400976534,0.75,LightGBM
Fartcoin,0.037825356037796236,0.75,LightGBM
GIGA,0.033589668599196,0.75,LightGBM
GOAT,0.08223077546991384,0.75,LightGBM
MEW,0.027373310206895197,0.75,LightGBM
MLG,0.0627074705242715,0.75,LightGBM
MOODENG,0.02117580712562097,0.75,LightGBM
PONKE,0.03024273145364986,0.75,LightGBM
POPCAT,0.03484199240312021,0.75,LightGBM
Pnut,0.03176148165759528,0.75,LightGBM
RETARDIO,0.03980244111187915,0.75,LightGBM
Ray,0.019025420555233433,0.75,LightGBM
SIGMA,0.03741356434102956,0.75,LightGBM
UFD,0.05749068069689203,0.75,LightGBM
ZEREBRO,0.10680594904031943,0.75,LightGBM
$WIF,0.02342142303717872,0.9,LightGBM
$michi,0.018836970739393107,0.9,LightGBM
ALCH,0.044083403298246636,0.9,LightGBM
AVA,0.026477474534792243,0.9,LightGBM
FWOG,0.04465008621690638,0.9,LightGBM
Fartcoin,0.025816135381193678,0.9,LightGBM
GIGA,0.02297428828628202,0.9,LightGBM
GOAT,0.06517665736560292,0.9,LightGBM
MEW,0.016588162447215532,0.9,LightGBM
MLG,0.05037719274781928,0.9,LightGBM
MOODENG,0.013899241046448674,0.9,LightGBM
PONKE,0.02165139727702166,0.9,LightGBM
POPCAT,0.028340614728256486,0.9,LightGBM
Pnut,0.02031097253559325,0.9,LightGBM
RETARDIO,0.027709539193641778,0.9,LightGBM
Ray,0.010765113229541082,0.9,LightGBM
SIGMA,0.01827076809323662,0.9,LightGBM
UFD,0.03783792379479794,0.9,LightGBM
ZEREBRO,0.12021939348072105,0.9,LightGBM
$WIF,0.018233364268165943,0.95,LightGBM
$michi,0.023873276162198396,0.95,LightGBM
ALCH,0.0642939555188749,0.95,LightGBM
AVA,0.03283129345269202,0.95,LightGBM
FWOG,0.06386647269397813,0.95,LightGBM
Fartcoin,0.029770013951448435,0.95,LightGBM
GIGA,0.022396949598619563,0.95,LightGBM
GOAT,0.058759896925975184,0.95,LightGBM
MEW,0.015999444471127385,0.95,LightGBM
MLG,0.03972499134480476,0.95,LightGBM
MOODENG,0.014188308047375168,0.95,LightGBM
PONKE,0.0168314463308931,0.95,LightGBM
POPCAT,0.022383190083939266,0.95,LightGBM
Pnut,0.019419615397662373,0.95,LightGBM
RETARDIO,0.0242255416717064,0.95,LightGBM
Ray,0.01223775115564025,0.95,LightGBM
SIGMA,0.02594532684883962,0.95,LightGBM
UFD,0.03768102139740987,0.95,LightGBM
ZEREBRO,0.12876650710839158,0.95,LightGBM
